1,1,3,118
2,1,5,490
3,1,9,507
4,2,4,470
5,2,5,344
6,2,9,325
7,3,4,516
8,4,6,662
9,4,5,321
10,5,2,529
11,5,2,165
12,5,1,459
13,6,8,549
14,6,5,104
15,6,9,599
16,6,7,67
17,7,5,134
18,7,6,414
19,7,9,456
20,7,6,593
21,8,4,263
22,8,2,437
23,8,1,28
24,8,2,561
25,9,1,223
26,10,8,192
27,10,10,282
28,10,10,145
29,11,4,165
30,12,10,531
31,12,1,127
32,12,5,170
33,13,3,152
34,14,2,686
35,14,2,525
36,14,8,453
37,14,4,677
38,15,8,520
39,15,4,152
40,16,5,236
41,16,9,674
42,17,1,330
43,17,1,637
44,18,4,26
45,18,6,51
46,18,2,619
47,18,4,306
48,19,7,112
49,20,9,213
50,20,1,61
51,21,8,648
52,21,10,405
53,21,6,383
54,22,8,382
55,22,8,650
56,23,7,708
57,24,9,441
58,24,2,47
59,24,2,563
60,25,4,625
61,25,2,151
62,25,1,428
63,25,1,268
64,26,5,465
65,26,2,13
66,26,1,342
67,27,5,109
68,28,8,51
69,28,1,336
70,29,3,451
71,29,2,587
72,29,2,55
73,30,7,30
74,30,5,250
75,30,6,300
76,30,6,517
77,30,8,521
78,31,2,703
79,32,7,530
80,32,1,506
81,33,5,354
82,33,5,27
83,33,8,298
84,33,8,87
85,34,8,461
86,34,10,704
87,34,5,585
88,34,3,549
89,35,6,182
90,36,2,124
91,37,10,484
92,37,8,503
93,37,1,532
94,37,5,571
95,37,5,280
96,38,7,133
97,38,6,337
98,39,1,340
99,39,10,69
100,40,1,381
101,40,6,292
102,40,7,315
103,40,6,151
104,41,2,117
105,41,9,130
106,41,3,84
107,42,3,673
108,42,8,474
109,42,2,553
110,43,6,13
111,43,3,334
112,44,2,564
113,44,10,386
114,45,5,141
115,45,10,349
116,45,5,112
117,46,6,403
118,46,1,194
119,47,4,52
120,47,6,624
121,47,4,336
122,47,6,186
123,48,2,228
124,48,4,535
125,48,9,534
126,49,10,669
127,50,9,152
128,51,4,377
129,52,4,180
130,52,4,103
131,52,10,212
132,53,3,310
133,53,6,711
134,54,6,237
135,54,1,484
136,54,3,299
137,55,4,701
138,55,5,262
139,56,7,102
140,56,5,79
141,56,1,42
142,56,2,405
143,57,1,132
144,57,5,592
145,58,3,366
146,58,9,31
147,59,2,4
148,59,1,713
149,59,9,207
150,60,9,9
151,60,7,259
152,61,4,413
153,61,1,425
154,61,8,685
155,62,5,191
156,62,3,18
157,62,6,644
158,63,3,351
159,63,2,425
160,64,4,456
161,64,6,615
162,65,6,69
163,65,10,196
164,65,10,381
165,66,1,696
166,66,2,588
167,66,9,655
168,66,7,371
169,67,4,322
170,67,7,345
171,67,4,258
172,68,5,690
173,68,8,208
174,69,6,171
175,69,5,713
176,70,5,657
177,70,10,158
178,71,5,31
179,71,3,233
180,72,3,636
181,73,4,154
182,73,8,213
183,73,3,698
184,74,8,465
185,74,7,514
186,74,4,717
187,75,4,64
188,75,4,270
189,75,8,589
190,76,9,96
191,76,6,437
192,76,8,678
193,77,10,455
194,77,2,710
195,78,1,418
196,78,2,193
197,79,3,309
198,79,7,163
199,79,8,567
200,79,5,22
201,80,8,531
202,80,4,89
203,80,1,148
204,80,3,307
205,81,6,567
206,82,5,350
207,82,10,362
208,83,4,711
209,84,4,466
210,85,3,625
211,86,8,706
212,86,9,40
213,86,9,489
214,86,4,193
215,87,4,162
216,87,2,495
217,87,10,337
218,87,8,275
219,88,7,341
220,88,7,335
221,89,4,457
222,89,6,316
223,90,10,106
224,90,6,643
225,91,7,291
226,91,8,535
227,92,8,677
228,92,5,598
229,93,2,369
230,94,9,679
231,94,9,202
232,95,4,522
233,95,7,622
234,96,3,672
235,96,4,349
236,96,3,702
237,97,6,330
238,97,10,318
239,98,7,621
240,98,9,511
241,99,2,105
242,99,9,434
243,100,1,5
244,100,1,72
245,100,1,409
246,101,7,367
247,101,3,134
248,101,8,250
249,101,6,388
250,102,9,315
